age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3000.0,100% Parents Money,Paytm,4-7 (Okay this is reasonable ),5.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),2,1,4,2,1,1,1,3,10+ (Lost the count),Food delivery (Swiggy / Zomato);In college cafe's and normal shops;Other,Cold drink ,Return it (not possible because already ate the ice cream),9,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,Convenient ,Coldrinks and icecrean orders by,4000
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PayZapp,4-7 (Okay this is reasonable ),6.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),1,1,2,1,1,1,1,1,1-2 times,"Food delivery (Swiggy / Zomato);Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming",,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)",Never (teach us your ways),I never taught about this,Not have change,,4001
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,More than 80% (You need help for that fill this form),Evening;Late Night (10PM - 2AM);Post Midnight,Sometimes (When I remember I'm poor),5,1,1,1,1,1,1,5,1-2 times,"Subscriptions (Netflix, Spotify, Prime);Gadgets / Accessories;Other",Outings with friends,Accept it or move on (aaj tak nahi huva),9,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,No cash,Crunchyroll Mega fan subscription. I was feeling frustrated from midsems and vented by buying the subscription.,4002
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5000.0,100% Parents Money,Paytm,8-15 (The apps know your face by now),15.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Never (Pls check it for yourself),1,1,1,3,1,1,1,4,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),4,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,I feel comfortable using UPI,,4003
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5669.0,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),34.0,40-60% (Mostly it on the food),Evening,Rarely (Assuming account is full of money),1,1,1,1,2,1,1,3,10+ (Lost the count),Food delivery (Swiggy / Zomato),,See my expense and feel worse (No place for move on),7,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,I feel comfortable using UPI,,4004
18-21,Male,Ug,₹6000+ (Force fully living in the college hostel),8000.0,100% Parents Money,PhonePe,8-15 (The apps know your face by now),12.0,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,2,1,2,1,3,2,1,1-2 times,Gadgets / Accessories;In college cafe's and normal shops,,See my expense and feel worse (No place for move on),4,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,Leaf buds and headphones,4005
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,PhonePe,8-15 (The apps know your face by now),,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,1-2 times,Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),7,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,I feel comfortable using UPI,,4006
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),4000.0,Mix of parents + I earn something on the side,Navi UPI,8-15 (The apps know your face by now),10.0,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Rarely (Assuming account is full of money),1,1,1,1,1,1,1,3,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),Yes (I use an app or diary for it),Rarely,Yes,I feel comfortable using UPI,,4007
Under 18,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),500.0,100% Parents Money,Fampay,8-15 (The apps know your face by now),9.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,3,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),4,Maybe (don't want to accept it),Yes (I use an app or diary for it),Never (teach us your ways),No,Because shops does not accept cash,,4008
