age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),1,2,1,1,1,1,1,1,1-2 times,"Subscriptions (Netflix, Spotify, Prime)",,See my expense and feel worse (No place for move on),2,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i feel comfortable using upi,,1010
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),3500.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),7.0,60-80% (Probably you love everything you see online),Evening,Never (Pls check it for yourself),2,2,2,1,2,2,2,2,Never,"Food delivery (Swiggy / Zomato);Subscriptions (Netflix, Spotify, Prime)",,Return it (not possible because already ate the ice cream),8,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),Yes,i feel comfortable using upi,,1011
25+ (Senior citizen of college life),Male,Pg,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,Mix of parents + I earn something on the side,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Morning;Afternoon;Evening;Late Night (10PM - 2AM);Post Midnight,Always (I am disciplined and boring),3,3,3,3,3,3,3,3,Never,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming;Gadgets / Accessories;Courses;In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),10,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, regularly",Yes,because shops does not accept cash,,2000
22-25,Male,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,"I check, feel sad, and buy anyway",2,2,2,2,2,2,2,2,Never,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,Yes,no need of waiting for changes just paying what is then bill is done..,,2001
25+ (Senior citizen of college life),Female,Pg,₹6000+ (Force fully leaving in the college hostel),25000.0,Mix of parents + I earn something on the side,Google Pay (GPay),15+ (You are the reason companies are profitable ),30.0,Less than 20% (its a lie),Afternoon,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,Never,Other,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),Yes (I use an app or diary for it),Never (teach us your ways),No,i feel comfortable using upi,,2002
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),1-3 (No comments),1.0,40-60% (Mostly it on the food),Morning;Afternoon,Sometimes (When I remember I'm poor),2,3,3,3,3,3,2,2,1-2 times,"Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Gadgets / Accessories",,Accept it or move on (aaj tak nahi huva),6,No (we don't believe),"No, I need some surprise in life",Rarely,Yes,because shops does not accept cash,,2003
22-25,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,Less than 20% (its a lie),Afternoon;Evening,Sometimes (When I remember I'm poor),2,3,1,2,1,2,1,1,3-5 times,Other,,See my expense and feel worse (No place for move on),7,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i feel comfortable using upi,,2004
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Bhim UPI,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,2,2,4,4,2,1,1,1-2 times,"Subscriptions (Netflix, Spotify, Prime);In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i feel comfortable using upi,,2005
22-25,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),15.0,40-60% (Mostly it on the food),Afternoon;Evening,Rarely (Assuming account is full of money),1,1,1,4,1,1,1,4,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),Yes,i feel comfortable using upi,"I got myself an aloo paratha. I was feeling kinda hungry and wanted something good to eat that was filling and also tasty. That was why i decide to get the aloo paratha, because it was tasty and pretty filling.",2006
25+ (Senior citizen of college life),Male,Pg,₹6000+ (Force fully leaving in the college hostel),,I run a side hustle / freelance / small business,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Evening,Rarely (Assuming account is full of money),4,3,3,4,4,4,4,4,Never,"Food delivery (Swiggy / Zomato);Subscriptions (Netflix, Spotify, Prime);Gadgets / Accessories",,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Rarely,No,i feel comfortable using upi,,2007
22-25,Male,Pg,₹6000+ (Force fully leaving in the college hostel),45000.0,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),30.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",Yes,i feel comfortable using upi,,2008
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),1000.0,100% Parents Money,Google Pay (GPay),1-3 (No comments),,Less than 20% (its a lie),Morning,Always (I am disciplined and boring),3,3,3,3,3,3,3,3,Never,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),5,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,because shops does not accept cash,,2009
22-25,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),5.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM);Post Midnight,Always (I am disciplined and boring),1,1,3,3,4,2,1,2,1-2 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,See my expense and feel worse (No place for move on),8,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,i feel comfortable using upi,"Bought a pair of earrings from online, the delivery product was damaged with no return or exchange options, it was a sad day. I was super excited when buying it as I really liked the product and it was right in my budget so I made the purchase almost immediately. ",2010
25+ (Senior citizen of college life),Male,Ug,₹6000+ (Force fully leaving in the college hostel),,I run a side hustle / freelance / small business,Amazon Pay,8-15 (The apps know your face by now),4.0,40-60% (Mostly it on the food),Morning,Sometimes (When I remember I'm poor),5,4,3,4,3,3,4,4,1-2 times,"Blinkit / Instamart;Subscriptions (Netflix, Spotify, Prime);Gaming",,Tell to friend (and force them to buy also),7,No (we don't believe),Yes (I use an app or diary for it),Rarely,Yes,i am afraid that i might lose cash.,,2011
22-25,Male,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Never (Pls check it for yourself),5,5,5,3,2,2,4,2,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Subscriptions (Netflix, Spotify, Prime)",,Tell to friend (and force them to buy also),5,,"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i feel comfortable using upi,,2012
18-21,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),3,3,4,3,4,3,3,3,3-5 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Return it (not possible because already ate the ice cream),5,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",No,i am afraid that i might lose cash.,,2013
22-25,Male,Pg,₹1000 - ₹3000 (Mess food is not enough for me),2250.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),5.0,20-40% (Understandable),Afternoon,Never (Pls check it for yourself),1,2,1,2,1,3,3,2,Never,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,i feel comfortable using upi,,2014
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2250.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,3,1,1,1,1,3-5 times,Gadgets / Accessories,,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,because shops does not accept cash,,2015
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Afternoon,Always (I am disciplined and boring),3,3,1,1,5,1,1,1,Never,Other,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),No,because shops does not accept cash,,2016
Under 18,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,1-3 (No comments),2.0,40-60% (Mostly it on the food),Evening,Always (I am disciplined and boring),1,1,1,2,2,1,1,1,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),8,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,cash mostly ,"I bought a cancan skirt , I needed it but it wasn't so comfortable.",2017
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),,40-60% (Mostly it on the food),Afternoon,Sometimes (When I remember I'm poor),1,3,1,1,1,1,1,3,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,See my expense and feel worse (No place for move on),7,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i am afraid that i might lose cash.,,2018
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),500.0,100% Parents Money,Google Pay (GPay),1-3 (No comments),2.0,20-40% (Understandable),Morning,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,Never,Other,,Buy Something else to feel better,1,No (we don't believe),"No, I need some surprise in life",Rarely,I never taught about this,i used upi when i don't have cash ,,2019
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,I have an internship / part-time job,Paytm,4-7 (Okay this is reasonable ),,20-40% (Understandable),Morning,Sometimes (When I remember I'm poor),2,2,5,3,3,1,1,5,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),7,No (we don't believe),Yes (I use an app or diary for it),"Yes, regularly",Yes,i am afraid that i might lose cash.,,2020
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google Pay (GPay),1-3 (No comments),3.0,20-40% (Understandable),Afternoon,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,3-5 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming",,See my expense and feel worse (No place for move on),6,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,I never taught about this,i am afraid that i might lose cash.,,2021
22-25,Female,Ug,₹6000+ (Force fully living in the college hostel),900.0,Mix of parents + I earn something on the side,PhonePe,4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),1,3,1,3,2,3,3,3,1-2 times,"Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Return it (not possible because already ate the ice cream),3,No (we don't believe),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,i feel comfortable using upi,,2022
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),3,1,3,2,2,1,2,1,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),8,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",No,i feel comfortable using upi,,2023
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Late Night (10PM - 2AM),Always (I am disciplined and boring),5,2,4,3,2,1,1,3,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),10,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",No,i feel comfortable using upi,,2024
22-25,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,60-80% (Probably you love everything you see online),Morning;Afternoon;Evening,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),Yes (I use an app or diary for it),Rarely,Yes,i am afraid that i might lose cash.,,2025
22-25,Female,Ug,₹6000+ (Force fully living in the college hostel),7000.0,I run a side hustle / freelance / small business,PhonePe,8-15 (The apps know your face by now),15.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,5,1,1,1,Never,In college cafe's and normal shops,,Return it (not possible because already ate the ice cream),2,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i feel comfortable using upi,Recently I purchased a trouser online from UPI and now I regret it because it did not work well.,2026
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3100.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),15.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),1,4,2,1,2,2,2,2,1-2 times,"Subscriptions (Netflix, Spotify, Prime);Gaming",,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,i feel comfortable using upi,,2027
18-21,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),3000.0,100% Parents Money,PhonePe,1-3 (No comments),3.0,40-60% (Mostly it on the food),Evening,"I check, feel sad, and buy anyway",1,1,1,1,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,i feel comfortable using upi,,2028
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,I run a side hustle / freelance / small business,Paytm,4-7 (Okay this is reasonable ),5.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),5,1,1,3,1,1,1,1,1-2 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,"cash is unhygienic to touch, so it's better to have cashless transactions","None, didnt have enough money after spending on food. No regrets ever for food.",2029
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,1,1,1,3,2,1,1,Never,"Subscriptions (Netflix, Spotify, Prime)",,Accept it or move on (aaj tak nahi huva),4,Yes (don't worry many of us does),"No, I need some surprise in life",Rarely,Yes,i feel comfortable using upi,,3000
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),2,2,3,1,2,1,1,4,1-2 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),6,Yes (don't worry many of us does),I am scared of what I'll find,Rarely,Yes,i feel comfortable using upi,,3001
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),2231.0,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),20.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM);Post Midnight,Rarely (Assuming account is full of money),4,5,5,4,4,3,2,5,10+ (Lost the count),"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,See my expense and feel worse (No place for move on),8,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,i feel comfortable using upi,I bought two of trousers from mall after seeing buy two and get 200 off,3002
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),,20-40% (Understandable),Morning;Afternoon;Evening,Never (Pls check it for yourself),1,1,1,1,1,3,3,2,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;Gadgets / Accessories;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),I never taught about this,i feel comfortable using upi,,3003
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1200.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),6.0,20-40% (Understandable),Evening,"I check, feel sad, and buy anyway",3,4,3,1,4,1,1,1,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),Yes,i am afraid that i might lose cash.,"Snacks for this weekend to eat and chill watching ""stuff"". I don't usually spend much, but I do think twice (hesitant) before most of the unnecessary payments I do. Nothing specific madee click pay, I just went with the impulse.",3004
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1500.0,100% Parents Money,Navi UPI,4-7 (Okay this is reasonable ),5.0,Less than 20% (its a lie),Evening,Sometimes (When I remember I'm poor),1,1,1,2,2,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Other,,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,No,i feel comfortable using upi,,3005
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,Less than 20% (its a lie),Morning;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,1,5,1,1,5,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),Yes (I use an app or diary for it),Rarely,No,i feel comfortable using upi,,3006
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,40-60% (Mostly it on the food),Afternoon;Evening,Sometimes (When I remember I'm poor),1,2,1,3,4,1,1,1,3-5 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,because shops does not accept cash,,3007
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Afternoon,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,3,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",No,i feel comfortable using upi,,3008
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google pay as well as Paytm ,8-15 (The apps know your face by now),10.0,Less than 20% (its a lie),Evening,Sometimes (When I remember I'm poor),1,3,1,2,1,3,1,2,3-5 times,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,No,the fear of leaving the wallet somewhere by mistake or the fear of shopkeeper rejecting paper money due to lack of change.,,3009
Under 18,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),3500.0,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),24.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,2,3,3,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,Like when i buy food items unnecessarily when i can avoid them ,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,because shops does not accept cash,Not particular but sometimes i order patties and samosa from my cafe which i can avoid . My hunger forced me to pay,3010
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Rarely (Assuming account is full of money),1,2,1,2,1,2,2,2,Never,Food delivery (Swiggy / Zomato),,Buy Something else to feel better,3,Maybe (don't want to accept it),I am scared of what I'll find,"Yes, regularly",Yes,i feel comfortable using upi,,3011
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Never (Pls check it for yourself),1,2,1,2,1,1,2,1,1-2 times,Food delivery (Swiggy / Zomato),,Buy Something else to feel better,3,Maybe (don't want to accept it),I am scared of what I'll find,"Yes, regularly",Yes,i feel comfortable using upi,,3012
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1800.0,100% Parents Money,Google Pay (GPay),1-3 (No comments),3.0,20-40% (Understandable),Evening,Never (Pls check it for yourself),1,1,1,1,3,1,1,1,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,Yes (don't worry many of us does),"No, I need some surprise in life","Yes, Occasionally",Yes,i feel comfortable using upi,,3013
